"Data";"Media 2020";"Media 2021";"Media 2022";"Media 2023";"Media 2024"
2020-04-24;"-40,95";"-47,46";"-50,79";"-53,38";"-50,84"
2020-04-27;"-40,39";"-46,22";"-50,79";"-53,38";"-50,84"
2020-04-28;"-40";"-46,03";"-50,55";"-53,38";"-50,84"
2020-04-29;"-37,31";"-41,93";"-47,64";"-50,12";"-48,26"
2020-04-30;"-36,88";"-41,73";"-47,6";"-50,08";"-48,2"
2020-05-04;"-36,77";"-41,73";"-47,6";"-50,08";"-48,2"
2020-05-05;"-36,04";"-41,13";"-47,6";"-50,08";"-48,2"
2020-05-06;"-36,04";"-41,13";"-47,6";"-50,08";"-48,2"
2020-05-07;"-36,04";"-41,13";"-47,6";"-50,08";"-48,2"
2020-05-08;"-35,36";"-41,13";"-47,6";"-50,08";"-48,2"
